All,ทั้งหมด
None,ไม่มี
"You need more permissions to apply some of the rule updates.",คุณต้องการสิทธิ์เพิ่มเติมในการอัพเดท
"You need more permissions to access website ""%1"".","คุณต้องเพิ่มเติมสิทธิ์การเข้าถึงเว็บไซต์ ""%1""."
"Role Scopes",ขอบเขตบทบาท
Custom,กำหนดเอง
"More permissions are needed to delete the ""%1"" item.","ต้องมีสิทธิ์เพิ่มขึ้นในการลบรายการ ""%1"""
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","ต้องกำหนดเอนทิตีนี้ให้กับมุมมองร้านค้า ตรวจสอบการกำหนดเอนทิตีและลองอีกครั้ง"
"Orders can only be completed in an active store. Verify the store and try again.","คำสั่งซื้อสามารถทำได้ในร้านค้าที่ใช้งานอยู่เท่านั้น ตรวจสอบร้านค้าและลองอีกครั้ง"
"This item needs to be assigned to a store view. Assign item and try again.","ต้องกำหนดรายการนี้ให้กับมุมมองร้านค้า กำหนดรายการแล้วลองอีกครั้ง"
"More permissions are needed to save this item.",ต้องการการอนุญาตเพิ่มเติมเพื่อบันทึกรายการนี้
"More permissions are needed to delete this item.",ต้องการการอนุญาตเพิ่มเติมเพื่อลบรายการนี้
"More permissions are needed to view this item.",ต้องมีสิทธิ์เพิ่มขึ้นในการที่จะเปิดดูรายการนี้
"At least one website or store group needs to be selected. Select and try again.","ต้องเลือกเว็บไซต์หรือกลุ่มร้านค้าอย่างน้อยหนึ่งรายการ เลือกแล้วลองอีกครั้ง"
"More permissions are needed to set All Scopes to a Role.",จำเป็นต้องมีการอนุญาตเพิ่มเติมเพื่อตั้งค่าขอบเขตทั้งหมดเป็นบทบาท
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","รหัสเว็บไซต์ ""%1"" ไม่ถูกต้อง ยืนยันรหัสเว็บไซต์แล้วลองอีกครั้ง"
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","รหัสร้านค้า ""%1"" ไม่ถูกต้อง ยืนยันรหัสร้านค้าแล้วลองอีกครั้ง"
"More permissions are needed to save this setting.",ต้องการการอนุญาตเพิ่มเติมเพื่อบันทึกการตั้งค่านี้
"Read Details",อ่านรายละเอียด
"Mark as Read",ทำเครื่องหมายว่าอ่านแล้ว
"Are you sure?",คุณแน่ใจหรือไม่?
Remove,ลบ
"Messages Inbox",กล่องข้อความ
"You have %1 new system messages","คุณมี %1 ข้อความใหม่"
"You have %1 new system message","คุณมี %1 ข้อความใหม่"
"Incoming Message",ข้อความขาเข้า
close,ปิด
Notifications,การแจ้งเตือน
"The message has been marked as Read.",ข้อความถูกทำเครื่องหมายเป็นอ่านแล้ว
"We couldn't mark the notification as Read because of an error.",เราไม่สามารถทำเครื่องหมายการแจ้งเตือนว่าอ่านเนื่องจากข้อผิดพลาด
"Please select messages.",โปรดเลือกข้อความ
"A total of %1 record(s) have been marked as Read.","บันทึกทั้งหมด %1 รายการถูกทำเครื่องหมายว่าอ่านแล้ว"
"Total of %1 record(s) have been removed.","ลบทั้งหมด %1 บันทึกแล้ว"
"We couldn't remove the messages because of an error.",เราไม่สามารถลบข้อความได้เนื่องจากข้อผิดพลาด
"The message has been removed.",ข้อความได้ถูกลบแล้ว
"1 Hour","1 ชั่วโมง"
"2 Hours","2 ชั่วโมง"
"6 Hours","6 ชั่วโมง"
"12 Hours","12 ชั่วโมง"
"24 Hours","24 ชั่วโมง"
critical,วิกฤต
notice,การแจ้งเตือน
"Wrong message type",ชนิดของข้อความไม่ถูกต้อง
"Wrong notification ID specified.","ระบุ ID การแจ้งเตือนไม่ถูกต้อง"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","ไม่แนะนำให้ใช้ {{base_url}} ในสภาพแวดล้อมที่ใช้งานจริงเพื่อประกาศ Base Unsecure URL / Base Secure URL เราขอแนะนำอย่างยิ่งให้เปลี่ยนค่านี้ใน <a href=""%1"">การกำหนดค่า</a> Magento ของคุณ"
"One or more of the Cache Types are invalidated: %1. ","ประเภทแคชอย่างน้อยหนึ่งประเภทใช้ไม่ได้: %1 "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","โปรดไปที่ <a href=""%1"">การจัดการแคช</a> และรีเฟรชประเภทแคช"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","เราไม่สามารถซิงโครไนซ์ไฟล์มีเดียตั้งแต่หนึ่งไฟล์ขึ้นไป โปรดดูรายละเอียดในไฟล์บันทึก"
"Synchronization of media storages has been completed.",การซิงโครไนซ์การจัดเก็บสื่อเสร็จสมบูรณ์
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","เว็บเซิร์ฟเวอร์ของคุณได้รับการตั้งค่าอย่างไม่ถูกต้องและอนุญาตให้เข้าถึงไฟล์ที่ละเอียดอ่อนได้โดยไม่ได้รับอนุญาต โปรดติดต่อผู้ให้บริการโฮสต์ของคุณ"
"System Messages:",ข้อความของระบบ:
"Critical System Messages",ข้อความสำคัญของระบบ
"Major System Messages",ข้อความระบบหลัก
"System messages",ข้อความของระบบ
Close,ปิด
"See All (","ดูทั้งหมด ("
" unread)"," ยังไม่ได้อ่าน)"
"Show Toolbar",แสดงแถบเครื่องมือ
"Show List",แสดงรายการ
"Use HTTPS to Get Feed","ใช้ HTTPS เพื่อรับฟีด"
"Update Frequency",ความถี่อัปเดต
"Last Update",อัปเดตล่าสุด
Severity,ความรุนแรง
"Date Added",วันที่เพิ่ม:
Message,ข้อ​ความ
Actions,การดำเนินการ
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","คุณได้ดูและแก้ไขประกาศระบบล่าสุดทั้งหมดแล้ว โปรดรีเฟรชหน้าเว็บเพื่อล้างการแจ้งเตือนการแจ้งเตือน"
"Manage Shopping Cart",จัดการตะกร้าสินค้า
"Create Order",สร้างคำสั่งซื้อ
Back,ย้อนกลับ
"Add Products",เพิ่มสินค้า
"Update Items and Quantities",อัพเดทสินค้าและจำนวน
"Are you sure you want to clear your cart?",คุณแน่ใจหรือไม่ว่าคุณต้องการลบสินค้าจากตะกร้า?
"Clear my shopping cart",ล้างตะกร้า
"Add selections to my cart",ใส่สินค้าที่เลือกในตะกร้าของฉัน
Cancel,ยกเลิก
"Shopping Cart for %1 in %2","รถเข็นสำหรับ %1 ใน %2"
"Select products you want to buy",เลือกสินค้าที่คุณต้องการซื้อ
Product,สินค้า
Price,ราคา
Quantity,จำนวน
"Products in the Comparison List (%1)","สินค้าในรายการเปรียบเทียบ (%1)"
"Last ordered items (%1)","สินค้าที่สั่งล่าสุด (%1)"
Products,สินค้า
ID,ไอดี
SKU,รหัสสินค้า
"Recently Compared Products (%1)","สินค้าที่เปรียบเทียบเมื่อเร็ว ๆ นี้ (%1)"
"Recently Viewed Products (%1)","สินค้าที่ดูเมื่อเร็ว ๆ นี้ (%1)"
"Add to Shopping Cart by SKU","เพิ่มลงตะกร้า โดย รหัสสินค้า"
"Add to Shopping Cart",เพิ่มลงตะกร้าสินค้า
"Wish List (%1)","รายการที่ชอบ (%1)"
Apply,นำไปใช้
Configure,ตั้งค่า
"Add to Order by SKU","เพิ่มคำสั่งซื้อโดย รหัสสินค้า"
"Add to Order",เพิ่มคำสั่งซื้อ
"Add Products to Order",เพิ่มสินค้าไปยังคำสั่งซื้อ
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> ผลิตภัณฑ์ต้องการการดูแล</span>"
"Remove All",เอาออกทั้งหมด
"Only %1%2%3 left in stock","เหลือเพียง %1%2%3 ในคลังสินค้า"
"You can buy up to %1 of these per purchase.","คุณสามารถซื้อได้มากกว่า %1ชิ้น"
"You must buy at least %1 of these per purchase.","คุณต้องซื้ออย่างน้อย %1 รายการต่อการซื้อหนึ่งครั้ง"
"Specify the product's options.",ระบุตัวเลือกของผลิตภัณฑ์
"Alert me when this item is available.",แจ้งเตือนเมื่อมีสินค้านี้
"Shopping cart management is disabled for this customer.",การจัดการรถเข็นช็อปปิ้งถูกปิดใช้งานสำหรับลูกค้ารายนี้
Customers,ลูกค้า
"Shopping Cart",ตะกร้าสินค้า
"You do not have access to this.",คุณไม่สามารถเข้าถึงบริการนี้
"An error has occurred. See error log for details.","เกิดข้อผิดพลาด. ดูบันทึกข้อผิดพลาดสำหรับรายละเอียด"
"You cannot configure a product.",ไม่สามารถปรับแต่งสินค้าได้
"You removed the items.",คุณลบสินค้านี้แล้ว
"You removed the item.",คุณลบสินค้านี้แล้ว
"You added %1 to your shopping cart.","คุณเพิ่มสินค้า %1 ชิ้น ลงในตะกร้า"
"You cannot add a product.","คุณไม่สามารถ เพิ่มสินค้าได้"
"Order by SKU","เรียงตาม รหัสสินค้า"
"The SKU was not found in the catalog.","ไม่พบรหัสสินค้านี้ ในแค็ตตาล็อก"
"Availability: Out of stock.","สถานะ: สินค้าหมด"
"We don't have as many of these as you want.",เรามีสิ่งเหล่านี้ไม่มากเท่าที่คุณต้องการ
"You can't add this many to your cart.",คุณไม่สามารถเพิ่มสินค้าจำนวนมากนี้ลงในรถเข็นของคุณได้
"You need to choose options for your item.","คุณจำเป็นต้องเลือกตัวเลือก ของสินค้า"
"We can't add the item to your cart.",เราไม่สามารถเพิ่มสินค้าลงในรถเข็นของคุณได้
"Please enter an actual number in the ""Qty"" field.","โปรดระบุตัวเลขในช่อง ""จำนวน"""
"This product is assigned to another website.",ผลิตภัณฑ์นี้ถูกกำหนดให้กับเว็บไซต์อื่น
"You can add only enabled products.",คุณสามารถเพิ่มได้เฉพาะผลิตภัณฑ์ที่เปิดใช้งาน
"You cannot upload this file.","คุณไม่สามารถ อัพโหลดไฟล์นี้ได้"
"The file is empty.",ไฟล์ว่างเปล่า
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","คุณยังไม่ได้ป้อน SKU ของผลิตภัณฑ์ โปรด <a href=""%1"">คลิกที่นี่</a> เพื่อเพิ่มผลิตภัณฑ์ตาม SKU"
"You have not entered a product SKU.","คุณไม่ได้ระบุ รหัสสินค้า"
"We can't add a product to cart by id ""%1"".","เราไม่สามารถเพิ่มสินค้าลงตะกร้าด้วยรหัส ""%1"""
"Something went wrong while reordering this product.",เกิดข้อผิดพลาดขณะสั่งซื้อผลิตภัณฑ์นี้ใหม่
"We can't find this wish list.",เราไม่พบรายการสินค้าที่ต้องการนี้
"You added %1 product to your shopping cart.","คุณได้เพิ่มสินค้า %1 ลงในตะกร้าสินค้าของคุณ"
"You added %1 products to your shopping cart.","คุณได้เพิ่มสินค้า %1 ลงในตะกร้าสินค้าของคุณ"
"%1 product requires your attention.","%1 ผลิตภัณฑ์ต้องการความสนใจจากคุณ"
"%1 products require your attention.","%1 ผลิตภัณฑ์ต้องการการดูแลจากคุณ"
"Yes, for Specified Customer Groups","ใช่ สำหรับกลุ่มลูกค้าที่ระบุ"
"Yes, for Everyone","ใช่, สำหรับทุกคน"
No,ไม่
"Please upload the file in .csv format.","โปรดอัพโหลดไฟล์นามสกุล .csv"
"%1 item(s) need your attention.","%1 รายการต้องการความสนใจจากคุณ"
"Apply Coupon Code",ใช้รหัสคูปอง
"Remove Coupon Code",ลบรหัสคูปอง
"The coupon code ""%1"" is not valid.","รหัสคูปอง ""%1"" ไม่สามารถใช้ได้"
"Shopping Cart Items",รายการตะกร้าสินค้า
Qty,จำนวน
Subtotal,ผลรวมย่อย
Discount,ส่วนลด
"Row Subtotal",ยอดรวมแถว
Action,ดำเนินการ
"No ordered items",ไม่มีรายการสั่งซื้อ
"Total %1 product(s)","สินค้าทั้งหมด %1 รายการ"
Subtotal:,ยอดรวม:
"Please select",กรุณาเลือก
"Move to Wish List","ย้ายไปที่ รายการที่ชอบ"
"No item specified.",ไม่ได้ระบุรายการ
"Are you sure you want to remove this item?",คุณแน่ใจหรือไม่ว่าต้องการลบรายการนี้
"SKU number","หมายเลข SKU"
"Upload File",อัพโหลดไฟล์
"Your csv file must include ""sku"" and ""qty"" columns.","ไฟล์ csv ของคุณต้องมีคอลัมน์ ""sku"" และ ""qty"""
Reset,รีเซ็ต
"SKU: ","รหัสสินค้า: "
